POS_ID,SALE_DATE,BRANCH,SKU,VOLUME,PRICE
POS_00000,2024-11-03,Berlin-West,Landing-Gear,2.0,381.3429479470808
POS_00001,2024-10-27,Tokyo-Central,4K-Camera,2.0,850.3971784301737
POS_00002,2024-08-01,Tokyo-Central,Signal-Booster,8.0,1142.4169662422062
POS_00003,2024-12-05,NYC-East,Lithium-Cell,6.0,2753.054517305263
POS_00004,2024-08-22,Paris-South,Lithium-Cell,,1761.5308215571067
POS_00005,2024-10-05,Paris-South,Controller-Pro,7.0,1399.6301069505923
POS_00006,2024-09-04,Paris-South,4K-Camera,8.0,1243.9830753716326
POS_00007,2024-11-04,Paris-South,Lithium-Cell,3.0,545.0650590122373
POS_00008,2024-12-12,London-HQ,Controller-Pro,5.0,2425.9057906888675
POS_00009,2024-08-05,NYC-East,Signal-Booster,2.0,2264.1211367984984
POS_00010,2024-10-06,London-HQ,Signal-Booster,1.0,755.9529685176315
POS_00011,2024-09-25,NYC-East,Controller-Pro,7.0,386.71456009000485
POS_00012,2024-12-25,Berlin-West,4K-Camera,3.0,1989.1343946396696
POS_00013,2024-07-18,Berlin-West,Controller-Pro,6.0,554.1088957884815
POS_00014,2024-11-07,London-HQ,Lithium-Cell,8.0,2972.883236241869
POS_00015,2024-10-27,NYC-East,Signal-Booster,6.0,2545.8481122149215
POS_00016,2024-07-09,NYC-East,Signal-Booster,3.0,2206.9868841583743
POS_00017,2024-10-19,NYC-East,Controller-Pro,6.0,2603.93318625003
POS_00018,2024-09-13,NYC-East,Falcon-Drone,5.0,588.7731052141532
POS_00019,2024-12-14,Paris-South,Controller-Pro,1.0,2726.7811600515784
POS_00020,2024-09-07,NYC-East,Lithium-Cell,4.0,824.600425057937
POS_00021,2024-07-04,Paris-South,Landing-Gear,2.0,365.54866539431464
POS_00022,2024-10-17,London-HQ,Controller-Pro,8.0,1205.8400976880857
POS_00023,2024-12-27,Berlin-West,Lithium-Cell,4.0,2893.980673210958
POS_00024,2024-07-27,NYC-East,Lithium-Cell,6.0,2491.407069373958
POS_00025,2024-08-31,London-HQ,4K-Camera,2.0,2730.097465075132
POS_00026,2024-12-05,London-HQ,Falcon-Drone,2.0,676.1457351590269
POS_00027,2024-11-04,Berlin-West,Landing-Gear,5.0,-9.605602199774808
POS_00028,2024-11-06,London-HQ,Controller-Pro,4.0,-93.75508334464199
POS_00029,2024-09-09,Paris-South,4K-Camera,1.0,1471.8247347140477
POS_00030,2024-11-11,Paris-South,4K-Camera,5.0,2184.448205922668
POS_00031,2024-07-26,Paris-South,Lithium-Cell,7.0,755.9397379252625
POS_00032,2024-12-20,Paris-South,Lithium-Cell,9.0,-25.092098623653158
POS_00033,2024-07-09,Berlin-West,Controller-Pro,2.0,2546.573157149948
POS_00034,2024-07-31,Berlin-West,Controller-Pro,9.0,283.63899082164255
POS_00035,2024-11-18,Berlin-West,Signal-Booster,2.0,494.1540571797542
POS_00036,2024-10-06,London-HQ,Lithium-Cell,7.0,406.8074061170433
POS_00037,2024-10-05,London-HQ,Signal-Booster,9.0,1970.3789731201673
POS_00038,2024-07-29,Berlin-West,4K-Camera,7.0,2385.0751893855772
POS_00039,2024-10-14,London-HQ,4K-Camera,5.0,1305.2503622518711
POS_00040,2024-07-16,Tokyo-Central,Falcon-Drone,1.0,1060.0293378071337
POS_00041,2024-10-01,Tokyo-Central,4K-Camera,4.0,1113.667562531173
POS_00042,2024-11-10,Tokyo-Central,Falcon-Drone,5.0,2801.1620225699608
POS_00043,2024-07-16,NYC-East,Falcon-Drone,9.0,1655.8738236956838
POS_00044,2024-12-23,Tokyo-Central,Signal-Booster,8.0,360.8544968392973
POS_00045,2024-08-08,Tokyo-Central,Signal-Booster,8.0,1326.1878870620462
POS_00046,2024-09-12,Berlin-West,4K-Camera,7.0,1579.600897617072
POS_00047,2024-12-09,Berlin-West,Controller-Pro,8.0,2589.0851481024015
POS_00048,2024-09-11,Paris-South,Lithium-Cell,9.0,2988.5955942038822
POS_00049,2024-09-02,Paris-South,4K-Camera,2.0,740.448458877563
POS_00050,2024-09-22,Berlin-West,Signal-Booster,4.0,1371.1697413762647
POS_00051,2024-12-09,London-HQ,Falcon-Drone,7.0,95.33263238973944
POS_00052,2024-12-27,Tokyo-Central,Falcon-Drone,1.0,2840.086764625459
POS_00053,2024-10-18,London-HQ,4K-Camera,9.0,2499.1683169058
POS_00054,2024-12-22,NYC-East,Landing-Gear,9.0,1287.6514121748385
POS_00055,2024-07-02,London-HQ,Falcon-Drone,6.0,1511.5396299048493
POS_00056,2024-08-08,Paris-South,4K-Camera,4.0,2989.3373537887655
POS_00057,2024-10-10,Paris-South,4K-Camera,8.0,2038.3451669558804
POS_00058,2024-07-23,Paris-South,Falcon-Drone,3.0,1705.948792912414
POS_00059,2024-08-18,NYC-East,Landing-Gear,2.0,2529.360497649721
POS_00060,2024-07-04,Berlin-West,Controller-Pro,2.0,435.1710651283447
POS_00061,2024-08-18,Paris-South,Landing-Gear,6.0,716.8386459181394
POS_00062,2024-10-27,Berlin-West,Lithium-Cell,6.0,416.1640202003168
POS_00063,2024-10-19,London-HQ,Landing-Gear,,2929.248278446346
POS_00064,2024-11-24,NYC-East,Signal-Booster,2.0,2613.8237024932882
POS_00065,2024-10-16,Berlin-West,Controller-Pro,8.0,1204.958224875751
POS_00066,2024-10-21,Tokyo-Central,Signal-Booster,7.0,2470.766530255627
POS_00067,2024-12-06,Berlin-West,Lithium-Cell,3.0,2297.86289568916
POS_00068,2024-09-30,Berlin-West,Signal-Booster,7.0,2707.7457983318573
POS_00069,2024-12-02,NYC-East,Landing-Gear,6.0,203.6587948469849
POS_00070,2024-07-10,London-HQ,4K-Camera,3.0,766.1612781250867
POS_00071,2024-08-13,Berlin-West,Falcon-Drone,2.0,1225.2589950609631
POS_00072,2024-10-11,NYC-East,Falcon-Drone,9.0,1571.5010324885727
POS_00073,2024-11-23,Paris-South,Landing-Gear,9.0,1871.9002043181285
POS_00074,2024-09-13,London-HQ,Falcon-Drone,2.0,1667.5347804422413
POS_00075,2024-07-31,Berlin-West,Landing-Gear,2.0,15.893336660011116
POS_00076,2024-07-03,Berlin-West,4K-Camera,6.0,40.90779475042953
POS_00077,2024-07-03,NYC-East,Signal-Booster,8.0,535.1304618015274
POS_00078,2024-12-16,Paris-South,4K-Camera,2.0,2879.2290195781006
POS_00079,2024-11-29,Paris-South,Controller-Pro,4.0,1475.625756740628
POS_00080,2024-12-12,NYC-East,4K-Camera,1.0,2948.7001663689357
POS_00081,2024-11-23,Paris-South,4K-Camera,7.0,2979.486886734983
POS_00082,2024-12-02,NYC-East,Falcon-Drone,2.0,2892.2130184608827
POS_00083,2024-11-10,London-HQ,4K-Camera,2.0,1269.8144429968188
POS_00084,2024-11-19,Tokyo-Central,Landing-Gear,4.0,-33.552303704276184
POS_00085,2024-08-11,London-HQ,Landing-Gear,9.0,1460.6793514341523
POS_00086,2024-10-11,Paris-South,4K-Camera,1.0,1377.247434402054
POS_00087,2024-07-03,Tokyo-Central,Signal-Booster,6.0,2287.0108898964363
POS_00088,2024-11-19,NYC-East,Landing-Gear,3.0,2039.2644971389796
POS_00089,2024-10-02,Berlin-West,Falcon-Drone,,2711.6883411910176
POS_00090,2024-10-03,London-HQ,Falcon-Drone,5.0,2412.6672245229593
POS_00091,2024-08-10,NYC-East,Falcon-Drone,9.0,1974.4633555829382
POS_00092,2024-08-23,Paris-South,Falcon-Drone,5.0,1584.3782458917394
POS_00093,2024-09-09,Berlin-West,Controller-Pro,9.0,2600.6121351197044
