TXN_ID,DATE,STORE_HUB,SKU_NAME,UNITS_SOLD,PRICE_TAG
RETAIL_00000,2024-07-21,London-RegentSt,iPhone 15 Pro,5.0,3883.557488557477
RETAIL_00001,2024-10-24,London-RegentSt,Vision Pro,3.0,3154.4823799268506
RETAIL_00002,2024-10-18,Sydney-GeorgeSt,Vision Pro,9.0,2716.810488445767
RETAIL_00003,2024-07-28,Paris-Opera,Vision Pro,8.0,3083.3585339047654
RETAIL_00004,2024-08-07,Sydney-GeorgeSt,Vision Pro,3.0,643.124616623681
RETAIL_00005,2024-12-04,Tokyo-Ginza,Apple Watch Ultra,7.0,34.453358232789924
RETAIL_00006,2024-10-05,Tokyo-Ginza,Vision Pro,2.0,3470.8954381912763
RETAIL_00007,2024-07-09,Paris-Opera,iPhone 15 Pro,5.0,322.6001361053393
RETAIL_00008,2024-11-02,NYC-FifthAve,iPad Pro,8.0,2298.278139223087
RETAIL_00009,2024-11-29,Tokyo-Ginza,Apple Watch Ultra,8.0,2975.4492035186468
RETAIL_00010,2024-08-19,Sydney-GeorgeSt,iPhone 15 Pro,2.0,2871.8181024899673
RETAIL_00011,2024-10-05,Sydney-GeorgeSt,Vision Pro,1.0,2923.013371754
RETAIL_00012,2024-09-26,Paris-Opera,iPhone 15 Pro,2.0,3973.582216523977
RETAIL_00013,2024-10-19,NYC-FifthAve,iPhone 15 Pro,,3184.938266975236
RETAIL_00014,2024-12-03,Paris-Opera,AirPods Max,9.0,1078.2252287147462
RETAIL_00015,2024-12-13,NYC-FifthAve,Vision Pro,2.0,3823.9426080397006
RETAIL_00016,2024-07-20,Paris-Opera,Vision Pro,,1582.6129517158765
RETAIL_00017,2024-10-07,NYC-FifthAve,AirPods Max,6.0,3657.1507148103483
RETAIL_00018,2024-09-22,Paris-Opera,Apple Watch Ultra,,1469.0439631621418
RETAIL_00019,2024-09-25,Sydney-GeorgeSt,AirPods Max,8.0,434.56937334005556
RETAIL_00020,2024-09-17,Tokyo-Ginza,iPad Pro,3.0,555.9334118638367
RETAIL_00021,2024-10-25,Sydney-GeorgeSt,iPhone 15 Pro,2.0,2510.9295018486573
RETAIL_00022,2024-09-22,Sydney-GeorgeSt,MacBook Air M3,3.0,3008.115250485734
RETAIL_00023,2024-10-19,Tokyo-Ginza,iPhone 15 Pro,6.0,3571.4641063987806
RETAIL_00024,2024-12-04,Paris-Opera,MacBook Air M3,2.0,3985.2769633575826
RETAIL_00025,2024-11-04,NYC-FifthAve,Apple Watch Ultra,8.0,1222.2497219228321
RETAIL_00026,2024-09-26,Paris-Opera,iPhone 15 Pro,,1766.5916606263022
RETAIL_00027,2024-08-06,Tokyo-Ginza,iPhone 15 Pro,3.0,1287.547778774467
RETAIL_00028,2024-12-21,Paris-Opera,Apple Watch Ultra,1.0,1104.439644464225
RETAIL_00029,2024-10-04,Tokyo-Ginza,AirPods Max,9.0,326.69223452226333
RETAIL_00030,2024-11-16,London-RegentSt,iPad Pro,9.0,2427.249930312732
RETAIL_00031,2024-07-11,London-RegentSt,Vision Pro,8.0,3983.7933935476276
RETAIL_00032,2024-08-18,Tokyo-Ginza,iPad Pro,7.0,450.2221148323857
RETAIL_00033,2024-12-22,NYC-FifthAve,AirPods Max,9.0,3880.3117401776026
RETAIL_00034,2024-11-06,London-RegentSt,MacBook Air M3,5.0,1825.4228543355985
RETAIL_00035,2024-09-21,Tokyo-Ginza,MacBook Air M3,8.0,186.97841393571025
RETAIL_00036,2024-07-03,Paris-Opera,iPad Pro,5.0,2573.2200896470576
RETAIL_00037,2024-07-18,London-RegentSt,Vision Pro,4.0,271.79420341109244
RETAIL_00038,2024-09-05,NYC-FifthAve,Vision Pro,,1735.6723624299311
RETAIL_00039,2024-11-24,Tokyo-Ginza,Apple Watch Ultra,5.0,718.9332489445028
RETAIL_00040,2024-10-08,NYC-FifthAve,iPad Pro,1.0,3202.8498564035826
RETAIL_00041,2024-12-14,London-RegentSt,iPad Pro,7.0,3149.8545126572913
RETAIL_00042,2024-08-27,NYC-FifthAve,iPad Pro,2.0,3043.3388279390583
RETAIL_00043,2024-08-06,London-RegentSt,iPad Pro,2.0,1283.8276917654525
RETAIL_00044,2024-10-05,NYC-FifthAve,iPad Pro,9.0,1127.5504826463682
RETAIL_00045,2024-08-17,London-RegentSt,Apple Watch Ultra,8.0,26.447060570745634
RETAIL_00046,2024-09-18,Tokyo-Ginza,Vision Pro,4.0,2064.5908609574276
RETAIL_00047,2024-11-20,NYC-FifthAve,MacBook Air M3,6.0,647.7675361126371
RETAIL_00048,2024-09-24,Sydney-GeorgeSt,Vision Pro,6.0,3909.7311455416193
RETAIL_00049,2024-11-19,London-RegentSt,Vision Pro,7.0,901.5894970663567
RETAIL_00050,2024-12-07,Tokyo-Ginza,iPad Pro,9.0,1582.801409460898
