LOG_ID,EVENT_TIME,LOCATION,ITEM,UNITS,PRICE_PER_UNIT
CSV_00000,2023-12-07,Tokyo-04,Mouse,1,1618.2893529772482
CSV_00001,2023-09-08,Paris-05,Keyboard,1,179.22467666722662
CSV_00002,2023-11-05,Paris-05,Cables,1,1088.4988936977807
CSV_00003,2023-08-26,Tokyo-04,TV,7,1507.0826106255186
CSV_00004,2023-07-01,London-01,Mouse,8,1503.7709318336897
CSV_00005,2023-11-01,NYC-02,Keyboard,9,964.8430742187668
CSV_00006,2023-08-14,Tokyo-04,Laptop,9,416.3171467050746
CSV_00007,2023-11-07,Paris-05,Phone,8,641.5425834993057
CSV_00008,2023-12-23,NYC-02,Laptop,7,249.90862720372786
CSV_00009,2023-11-02,Tokyo-04,Phone,7,-285.56810978177896
CSV_00010,2023-07-10,Tokyo-04,Keyboard,3,1042.34784512012
CSV_00011,2023-08-30,NYC-02,Laptop,1,617.2354001414403
CSV_00012,2023-09-18,Paris-05,Laptop,1,1838.9204269152506
CSV_00013,2023-07-10,London-01,Cables,6,1643.7188930593384
CSV_00014,2023-09-24,Berlin-03,Phone,4,649.2774211209216
CSV_00015,2023-07-30,NYC-02,Phone,7,805.5341990693114
CSV_00016,2023-10-14,Berlin-03,TV,1,1959.1875158695339
CSV_00017,2023-08-19,London-01,Mouse,2,293.51332289742277
CSV_00018,2023-11-07,London-01,Laptop,1,1445.2255596218517
CSV_00019,2023-11-14,Tokyo-04,Cables,9,1905.6541628447476
CSV_00020,2023-10-25,Paris-05,Monitor,4,1862.381879555844
CSV_00021,2023-08-19,NYC-02,Mouse,3,525.1561211964263
CSV_00022,2023-08-09,Berlin-03,Mouse,QTY_ERR,-184.22999921919103
CSV_00023,2023-11-12,London-01,Mouse,7,1003.7323824373534
CSV_00024,2023-09-26,Berlin-03,Keyboard,2,1776.5092544367963
CSV_00025,2023-11-10,NYC-02,Monitor,9,1308.0003568163843
CSV_00026,2023-12-17,NYC-02,Keyboard,3,489.38462555898775
CSV_00027,2023-10-25,Tokyo-04,Monitor,7,4.755383499848051
CSV_00028,2023-12-12,Berlin-03,Keyboard,3,839.4916154673604
CSV_00029,2023-11-22,Paris-05,Laptop,8,740.4648359720902
CSV_00030,2023-11-28,London-01,Laptop,2,-75.51248766080164
CSV_00031,2023-12-01,Berlin-03,Laptop,6,426.78390911427687
CSV_00032,2023-11-02,Berlin-03,Phone,2,158.90972296379357
CSV_00033,2023-11-08,Tokyo-04,Laptop,9,605.9119979079808
CSV_00034,2023-07-24,Paris-05,Mouse,9,-358.96423338870704
CSV_00035,2023-08-14,Berlin-03,TV,3,1448.2666279710786
CSV_00036,2023-07-06,Tokyo-04,Laptop,4,1815.9074235450285
CSV_00037,2023-10-06,NYC-02,Mouse,9,943.9441497049218
CSV_00038,2023-08-01,Tokyo-04,Cables,4,625.8673733258213
CSV_00039,2023-11-03,Tokyo-04,Monitor,6,532.5677790788204
CSV_00040,2023-08-16,NYC-02,Keyboard,2,-42.191350538705706
CSV_00041,2023-11-20,Tokyo-04,Laptop,5,1779.921449658064
CSV_00042,2023-10-17,Paris-05,Mouse,4,191.4120310390615
CSV_00043,2023-09-11,Berlin-03,Monitor,1,1288.2391546436604
CSV_00044,2023-10-15,Berlin-03,Laptop,4,1847.898081387798
CSV_00045,2023-12-07,London-01,Cables,1,-231.63677208022546
CSV_00046,2023-12-09,Berlin-03,Keyboard,5,-232.21871171219084
CSV_00047,2023-07-28,Berlin-03,Phone,5,845.3316819072231
CSV_00048,2023-08-26,London-01,TV,1,1156.2184900886464
CSV_00049,2023-10-15,Berlin-03,Mouse,2,1833.5285738793777
CSV_00050,2023-11-06,London-01,TV,9,1202.0427248838398
CSV_00051,2023-09-11,NYC-02,Monitor,8,1720.7628807416186
CSV_00052,2023-08-04,Tokyo-04,Mouse,6,1384.8937350302508
CSV_00053,2023-09-03,London-01,Phone,,-211.71869454498017
CSV_00054,2023-09-05,Paris-05,Laptop,3,1617.308545274488
CSV_00055,2023-12-13,NYC-02,Keyboard,8,1328.8717063464153
CSV_00056,2023-11-04,NYC-02,Mouse,4,485.39045033486457
CSV_00057,2023-11-14,Berlin-03,TV,1,-193.14763385254298
CSV_00058,2023-10-15,Tokyo-04,Mouse,5,592.0445515768856
CSV_00059,2023-09-13,Paris-05,Keyboard,6,-323.7647678685802
CSV_00060,2023-08-05,Berlin-03,Cables,1,442.31490981277
CSV_00061,2023-10-23,London-01,Keyboard,QTY_ERR,560.6546590714374
CSV_00062,2023-11-25,Tokyo-04,Laptop,1,1174.9896838231962
CSV_00063,2023-08-01,Berlin-03,Monitor,8,208.3057884109936
CSV_00064,2023-10-29,Tokyo-04,Laptop,2,1794.9049517533908
CSV_00065,2023-10-20,Berlin-03,Laptop,3,1793.6630638870097
CSV_00066,2023-12-24,Paris-05,Keyboard,1,595.3439284239169
CSV_00067,2023-11-19,Paris-05,Laptop,2,653.7324037289814
CSV_00068,2023-11-30,NYC-02,Keyboard,1,710.132797880518
CSV_00069,2023-08-11,Berlin-03,Cables,6,85.74991055930286
CSV_00070,2023-12-11,NYC-02,Cables,8,-6.140278671103545
CSV_00071,2023-08-26,NYC-02,Monitor,3,1572.0360467794994
CSV_00072,2023-12-17,Paris-05,Keyboard,5,1016.1592129389123
CSV_00073,2023-10-21,Berlin-03,Monitor,1,729.19323227115
CSV_00074,2023-09-21,London-01,Cables,3,-343.0721087520212
CSV_00075,2023-08-12,NYC-02,Laptop,3,845.2641463980797
CSV_00076,2023-10-03,Berlin-03,Phone,3,1340.5149421380638
CSV_00077,2023-10-29,London-01,Cables,4,764.4840011324541
CSV_00078,2023-07-18,NYC-02,Monitor,6,1164.626523732487
CSV_00079,2023-10-23,Berlin-03,Phone,3,36.29968202932139
CSV_00080,2023-10-18,Berlin-03,Laptop,9,1194.8210561535461
CSV_00081,2023-12-06,NYC-02,Mouse,6,829.3568290366034
CSV_00082,2023-12-19,London-01,Laptop,9,1990.2879254822806
CSV_00083,2023-12-17,London-01,TV,4,1034.1934416922386
CSV_00084,2023-12-27,NYC-02,Monitor,9,-61.524162565968595
CSV_00085,2023-12-09,NYC-02,Phone,5,211.4518476191223
